Iowa,2625,2617,2626,2629,2626,2679,2703,2716,2708,2729,2758,2756,2756,2750,2747,2746,2762,2793,2803,2805,2825,2852,2860,2864,2868,2881,2903,2914,2918,2916,2914,2908,2888,2871,2859,2830,2792,2767,2768,2771,2777,,,,,,,,,,2929,2932,2934,2942,2954,2964,2983,2999,3017,3033,3046
Kansas,1916,1950,1977,1994,2042,2093,2119,2128,2142,2160,2179,2183,2215,2231,2217,2209,2200,2197,2216,2236,2249,2247,2256,2266,2269,2281,2301,2321,2336,2351,2364,2385,2401,2416,2424,2427,2433,2445,2462,2473,2478,,,,,,,,,,2694,2702,2714,2723,2734,2745,2763,2784,2808,2833,2853
Kentucky,2936,2941,2920,2903,2902,2910,2898,2928,2961,2999,3038,3041,3054,3079,3096,3129,3147,3172,3195,3198,3219,3298,3336,3371,3416,3468,3529,3574,3610,3642,3661,3670,3683,3694,3695,3695,3688,3683,3680,3677,3685,,,,,,,,,,4049,4068,4090,4117,4146,4183,4219,4257,4290,4317,4339
Louisiana,2697,2769,2842,2866,2883,2946,3032,3115,3155,3208,3257,3260,3287,3345,3377,3446,3550,3581,3603,3619,3643,3710,3762,3788,3820,3886,3951,4014,4069,4138,4206,4283,4353,4395,4400,4408,4407,4344,4289,4253,4220,,,,,,,,,,4472,4478,4497,4521,4552,4577,4303,4376,4436,4492,4533
Maine,917,916,915,913,927,934,938,943,944,957,969,975,995,994,993,993,999,1004,994,992,994,1015,1034,1046,1059,1072,1088,1104,1114,1123,1125,1133,1137,1145,1156,1163,1170,1185,1204,1220,1228,,,,,,,,,,1277,1286,1296,1307,1314,1319,1324,1327,1331,1330,1328
Maryland,2355,2441,2500,2567,2685,2742,2811,2873,2982,3066,3101,3113,3176,3263,3386,3492,3695,3757,3815,3868,3922,4018,4073,4098,4119,4139,4151,4170,4184,4191,4217,4262,4283,4313,4365,4413,4487,4566,4658,4727,4781,,,,,,,,,,5311,5375,5440,5496,5547,5592,5627,5653,5685,5730,5774
Massachusetts,4686,4654,4650,4806,4910,4882,4891,4929,5010,5117,5149,5160,5219,5263,5344,5448,5535,5594,5618,5650,5689,5738,5760,5781,5774,5758,5744,5738,5736,5738,5737,5769,5771,5799,5841,5881,5903,5935,5980,6015,6016,,,,,,,,,,6361,6398,6417,6423,6412,6403,6410,6432,6469,6518,6548
Michigan,6407,6497,6650,6822,7066,7285,7467,7569,7667,7767,7823,7834,7893,7933,8058,8187,8512,8630,8696,8781,8875,8974,9029,9078,9118,9118,9129,9171,9218,9266,9262,9209,9115,9048,9049,9076,9128,9187,9218,9253,9295,,,,,,,,,,9952,9991,10016,10041,10055,10051,10036,10001,9947,9902,9884
Minnesota,2997,3010,3030,3050,3113,3172,3240,3274,3313,3366,3414,3425,3470,3513,3531,3558,3617,3659,3703,3758,3805,3853,3870,3889,3904,3933,3965,3989,4015,4050,4076,4112,4131,4141,4158,4184,4205,4235,4296,4338,4375,,,,,,,,,,4934,4983,5019,5054,5088,5120,5164,5207,5247,5281,5304
Mississippi,2176,2163,2152,2105,2064,2060,2086,2088,2086,2138,2178,2182,2206,2243,2244,2241,2245,2228,2219,2220,2217,2265,2307,2350,2378,2399,2430,2459,2488,2507,2521,2539,2557,2568,2578,2588,2594,2589,2580,2574,2573,,,,,,,,,,2848,2853,2859,2868,2889,2906,2905,2928,2948,2959,2967
Missouri,3964,4015,3972,4020,4066,4134,4163,4189,4186,4258,4320,4326,4349,4357,4392,4442,4523,4539,4568,4640,4677,4726,4759,4783,4796,4808,4839,4863,4889,4912,4917,4932,4929,4944,4975,5000,5023,5057,5082,5096,5117,,,,,,,,,,5607,5641,5675,5709,5748,5790,5843,5888,5924,5961,5989
Montana,593,596,602,616,624,636,656,667,666,669,675,679,696,698,703,706,707,701,700,694,694,711,719,727,736,748,757,770,782,787,787,795,804,814,821,822,814,805,800,800,799,,,,,,,,,,904,907,912,920,930,940,953,965,976,984,989
Nebraska,1327,1316,1311,1318,1340,1374,1397,1394,1383,1397,1411,1417,1446,1464,1476,1482,1456,1457,1467,1474,1484,1505,1519,1530,1539,1543,1551,1557,1564,1567,1570,1579,1582,1584,1589,1585,1574,1567,1571,1575,1578,,,,,,,,,,1714,1720,1728,1739,1749,1761,1773,1783,1796,1813,1826
Nevada,162,168,181,195,213,237,250,260,269,279,285,291,315,352,397,426,446,449,464,480,489,520,547,569,597,620,647,678,719,765,800,848,882,902,925,951,981,1023,1075,1137,1202,,,,,,,,,,2019,2098,2174,2249,2346,2432,2523,2601,2654,2685,2701
New Hampshire,532,529,535,547,554,557,566,572,581,596,607,609,618,632,649,663,681,697,709,724,738,762,781,801,816,829,845,870,892,909,921,937,948,958,977,997,1025,1054,1083,1105,1109,,,,,,,,,,1240,1256,1269,1280,1290,1298,1308,1313,1316,1316,1316
New Jersey,4872,5006,5125,5229,5360,5502,5615,5737,5890,6015,6067,6103,6265,6376,6531,6660,6851,6928,7005,7095,7168,7281,7335,7333,7332,7338,7340,7337,7351,7367,7365,7407,7431,7468,7515,7566,7622,7671,7712,7726,7730,,,,,,,,,,8431,8493,8553,8601,8635,8652,8662,8678,8711,8756,8792
New Mexico,689,717,735,756,763,785,806,847,886,919,951,954,965,979,989,1006,1007,1000,994,1011,1016,1054,1079,1106,1131,1160,1189,1216,1238,1285,1303,1333,1364,1394,1417,1438,1463,1479,1490,1504,1515,,,,,,,,,,1821,1832,1855,1878,1904,1932,1962,1990,2011,2037,2059
New York,14865,14890,15192,15527,15814,15966,16112,16374,16601,16685,16782,16838,17061,17301,17461,17589,17843,17935,18051,18105,18191,18358,18339,18177,18050,18003,17941,17813,17681,17584,17558,17568,17590,17687,17746,17792,17833,17869,17941,17983,17990,,,,,,,,,,19002,19083,19138,19176,19172,19133,19105,19132,19212,19307,19378
North Carolina,4068,4120,4109,4120,4131,4242,4309,4368,4376,4458,4556,4573,4663,4707,4742,4802,4896,4952,5004,5031,5082,5204,5301,5390,5471,5547,5608,5686,5759,5823,5882,5957,6019,6077,6164,6254,6322,6404,6481,6565,6629,,,,,,,,,,8082,8210,8326,8423,8553,8705,8917,9118,9309,9450,9535
North Dakota,619,604,608,609,611,615,613,612,606,618,632,634,641,637,644,649,647,626,621,621,618,627,631,633,635,639,646,650,651,653,653,660,669,677,680,677,670,661,655,646,639,,,,,,,,,,642,639,638,639,645,646,649,653,658,665,673
Ohio,7980,8061,8275,8591,8873,9017,9207,9410,9599,9671,9706,9734,9854,9929,9986,10080,10330,10414,10516,10563,10652,10735,10747,10767,10766,10770,10753,10771,10796,10798,10798,10788,10757,10738,10738,10735,10730,10760,10799,10829,10847,,,,,,,,,,11364,11387,11408,11435,11452,11463,11481,11500,11515,11529,11537
Oklahoma,2229,2210,2219,2182,2209,2250,2273,2282,2267,2289,2328,2336,2380,2427,2439,2446,2454,2489,2503,2535,2559,2619,2659,2696,2735,2775,2827,2870,2917,2975,3025,3096,3206,3290,3286,3271,3253,3210,3167,3150,3146,,,,,,,,,,3454,3467,3489,3505,3525,3549,3594,3634,3669,3718,3751
Oregon,1532,1556,1582,1601,1626,1659,1698,1712,1718,1746,1769,1772,1787,1818,1853,1888,1969,1979,2004,2062,2091,2151,2197,2242,2285,2330,2378,2447,2518,2588,2633,2668,2665,2653,2667,2673,2684,2701,2741,2791,2842,,,,,,,,,,3430,3468,3513,3547,3569,3613,3671,3722,3769,3809,3831
Pennsylvania,10507,10461,10503,10662,10817,10939,10972,10954,11058,11234,11319,11329,11392,11355,11424,11519,11664,11681,11741,11741,11794,11886,11908,11891,11871,11906,11897,11894,11879,11888,11864,11859,11845,11838,11815,11771,11783,11811,11846,11866,11882,,,,,,,,,,12284,12299,12331,12375,12411,12450,12511,12564,12612,12667,12702
Rhode Island,786,784,802,815,816,823,840,851,858,857,859,855,858,871,876,885,899,909,922,932,950,963,975,976,951,943,946,950,952,950,947,953,954,956,962,969,977,990,996,1001,1003,,,,,,,,,,1050,1057,1066,1071,1075,1068,1063,1057,1055,1054,1053
South Carolina,2113,2167,2178,2181,2176,2200,2229,2274,2304,2348,2383,2392,2409,2423,2460,2475,2520,2533,2559,2570,2591,2662,2719,2777,2845,2902,2944,2992,3044,3090,3122,3179,3208,3234,3272,3303,3343,3381,3412,3457,3487,,,,,,,,,,4024,4065,4108,4150,4211,4270,4358,4444,4529,4590,4625
South Dakota,655,655,651,648,655,663,670,666,656,667,681,683,693,705,708,701,683,671,669,668,666,671,677,679,680,681,686,688,689,688,691,690,691,693,697,698,696,696,698,697,696,,,,,,,,,,756,758,760,764,770,775,783,792,799,807,814
Tennessee,3315,3372,3352,3319,3359,3415,3415,3434,3471,3522,3567,3575,3622,3673,3718,3771,3822,3859,3878,3897,3924,4014,4095,4147,4214,4276,4347,4423,4486,4560,4591,4628,4646,4660,4687,4715,4739,4783,4822,4854,4877,,,,,,,,,,5704,5751,5796,5848,5911,5991,6089,6176,6247,6306,6346
Texas,7776,8111,8314,8336,8382,8660,8830,9070,9252,9405,9580,9624,9820,10053,10159,10270,10492,10599,10819,11045,11197,11510,11759,12020,12269,12569,12904,13193,13500,13888,14229,14746,15331,15752,16007,16273,16561,16622,16667,16807,16987,,,,,,,,,,20944,21320,21690,22031,22394,22778,23360,23832,24309,24802,25146
Utah,696,706,724,739,750,783,809,826,845,870,891,900,936,958,974,978,1009,1019,1029,1047,1059,1101,1135,1170,1200,1236,1275,1320,1368,1420,1461,1515,1558,1595,1622,1643,1663,1678,1689,1706,1723,,,,,,,,,,2245,2284,2325,2360,2402,2458,2526,2598,2663,2723,2764
Vermont,379,378,375,379,377,375,377,376,380,387,390,389,390,393,397,399,413,423,430,437,445,454,463,468,473,480,485,492,498,505,511,516,519,523,527,530,534,540,550,558,563,,,,,,,,,,610,612,615,618,620,621,623,623,624,625,626
Virginia,3315,3434,3504,3557,3555,3588,3722,3844,3914,3951,3967,3986,4095,4180,4276,4357,4456,4508,4558,4614,4648,4751,4824,4901,4971,5047,5122,5193,5270,5308,5347,5444,5493,5565,5644,5715,5812,5932,6037,6120,6187,,,,,,,,,,7106,7198,7287,7367,7476,7577,7674,7751,7833,7926,8001
Washington,2387,2424,2448,2466,2516,2604,2668,2724,2773,2821,2853,2855,2882,2942,2955,2961,3057,3174,3270,3343,3409,3448,3448,3479,3550,3621,3694,3776,3889,4018,4132,4236,4277,4300,4344,4400,4453,4532,4640,4746,4867,,,,,,,,,,5911,5986,6052,6104,6179,6257,6371,6462,6562,6667,6725
West Virginia,2006,1984,1957,1929,1905,1880,1857,1843,1845,1855,1860,1853,1828,1809,1796,1797,1775,1769,1763,1746,1744,1771,1798,1806,1815,1842,1880,1908,1923,1942,1950,1954,1950,1945,1928,1907,1882,1858,1830,1807,1793,,,,,,,,,,1807,1801,1805,1812,1816,1820,1828,1834,1840,1848,1853
Wisconsin,3438,3439,3469,3506,3608,3679,3742,3791,3843,3891,3952,3962,4009,4049,4112,4165,4274,4303,4345,4378,4418,4462,4502,4524,4546,4579,4596,4627,4646,4683,4706,4726,4729,4721,4736,4748,4756,4778,4822,4857,4892,,,,,,,,,,5374,5407,5445,5479,5514,5546,5578,5611,5641,5669,5687
Wyoming,290,291,293,290,293,307,312,314,315,320,330,331,337,333,336,339,323,322,324,329,332,340,347,354,366,382,397,413,433,454,470,492,506,510,505,500,496,477,465,458,454,,,,,,,,,,494,495,500,503,509,514,523,535,546,560,564
