"","Area","Year","Private forprofit graduate","Violent crimes","Population","Total graduate","Public graduate","Private nonprofit graduate"
"1635","Missouri","2009",1733,"29513",5961,38370,19399,17238
"1636","Missouri","2010",2391,"27440",5989,39670,19683,17596
"1637","Missouri","2011",NA,"26888",NA,NA,NA,NA
"1638","Missouri","2012",NA,"27155",NA,NA,NA,NA
"1639","Montana","1950",NA,NA,593,NA,NA,NA
"1640","Montana","1951",NA,NA,596,NA,NA,NA
"1641","Montana","1952",NA,NA,602,NA,NA,NA
"1642","Montana","1953",NA,NA,616,NA,NA,NA
"1643","Montana","1954",NA,NA,624,NA,NA,NA
"1644","Montana","1955",NA,NA,636,NA,NA,NA
"1645","Montana","1956",NA,NA,656,NA,NA,NA
"1646","Montana","1957",NA,NA,667,NA,NA,NA
"1647","Montana","1958",NA,NA,666,NA,NA,NA
"1648","Montana","1959",NA,NA,669,NA,NA,NA
"1649","Montana","1960",NA,"453",675,NA,NA,NA
"1650","Montana","1961",NA,"457",696,NA,NA,NA
"1651","Montana","1962",NA,"390",698,NA,NA,NA
"1652","Montana","1963",NA,"414",703,NA,NA,NA
"1653","Montana","1964",NA,"564",706,NA,NA,NA
"1654","Montana","1965",NA,"514",NA,NA,NA,NA
"1655","Montana","1966",NA,"507",707,NA,NA,NA
"1656","Montana","1967",NA,"588",701,NA,NA,NA
"1657","Montana","1968",NA,"610",700,NA,NA,NA
"1658","Montana","1969",NA,"682",694,NA,NA,NA
"1659","Montana","1970",NA,"774",694,NA,NA,NA
"1660","Montana","1971",NA,"971",711,NA,NA,NA
"1661","Montana","1972",NA,"1079",719,NA,NA,NA
"1662","Montana","1973",NA,"1207",727,NA,NA,NA
"1663","Montana","1974",NA,"1194",736,NA,NA,NA
"1664","Montana","1975",NA,"1418",748,NA,NA,NA
"1665","Montana","1976",NA,"1358",757,NA,NA,NA
"1666","Montana","1977",NA,"1659",770,NA,NA,NA
"1667","Montana","1978",NA,"1865",782,NA,NA,NA
"1668","Montana","1979",NA,"1762",787,NA,NA,NA
"1669","Montana","1980",NA,"1740",787,NA,NA,NA
"1670","Montana","1981",NA,"2004",795,NA,NA,NA
"1671","Montana","1982",NA,"1801",804,NA,NA,NA
"1672","Montana","1983",NA,"1737",814,NA,NA,NA
"1673","Montana","1984",NA,"1958",821,NA,NA,NA
"1674","Montana","1985",NA,"1722",822,NA,NA,NA
"1675","Montana","1986",NA,"1289",814,NA,NA,NA
"1676","Montana","1987",NA,"1223",805,NA,NA,NA
"1677","Montana","1988",NA,"989",800,NA,NA,NA
"1678","Montana","1989",NA,"935",800,NA,NA,NA
"1679","Montana","1990",NA,"1273",799,NA,NA,NA
"1680","Montana","1991",NA,"1130",809.5,NA,NA,NA
"1681","Montana","1992",NA,"1400",820,NA,NA,NA
"1682","Montana","1993",NA,"1489",830.5,NA,NA,NA
"1683","Montana","1994",NA,"1516",841,NA,NA,NA
"1684","Montana","1995",NA,"1491",851.5,NA,NA,NA
"1685","Montana","1996",NA,"1415",862,NA,NA,NA
"1686","Montana","1997",NA,"1161",872.5,NA,NA,NA
"1687","Montana","1998",NA,"1797",883,NA,NA,NA
"1688","Montana","1999",NA,"2090",893.5,NA,NA,NA
"1689","Montana","2000",NA,"2807",904,NA,NA,NA
"1690","Montana","2001",0,"3187",907,5183,4443,740
"1691","Montana","2002",0,"3197",912,5277,4700,577
"1692","Montana","2003",0,"3351",920,5238,4649,589
"1693","Montana","2004",0,"2723",930,5369,4772,597
"1694","Montana","2005",0,"2634",940,5177,4607,570
"1695","Montana","2006",0,"3564",953,5118,4498,620
"1696","Montana","2007",0,"3638",965,5217,4634,583
"1697","Montana","2008",0,"3013",976,5198,4604,594
"1698","Montana","2009",0,"2798",984,5252,4677,575
"1699","Montana","2010",0,"2733",989,5232,4670,562
"1700","Montana","2011",NA,"2755",NA,NA,NA,NA
"1701","Montana","2012",NA,"2736",NA,NA,NA,NA
"1702","Nebraska","1950",NA,NA,1327,NA,NA,NA
"1703","Nebraska","1951",NA,NA,1316,NA,NA,NA
"1704","Nebraska","1952",NA,NA,1311,NA,NA,NA
"1705","Nebraska","1953",NA,NA,1318,NA,NA,NA
"1706","Nebraska","1954",NA,NA,1340,NA,NA,NA
"1707","Nebraska","1955",NA,NA,1374,NA,NA,NA
"1708","Nebraska","1956",NA,NA,1397,NA,NA,NA
"1709","Nebraska","1957",NA,NA,1394,NA,NA,NA
"1710","Nebraska","1958",NA,NA,1383,NA,NA,NA
"1711","Nebraska","1959",NA,NA,1397,NA,NA,NA
"1712","Nebraska","1960",NA,"590",1411,NA,NA,NA
"1713","Nebraska","1961",NA,"586",1446,NA,NA,NA
"1714","Nebraska","1962",NA,"637",1464,NA,NA,NA
"1715","Nebraska","1963",NA,"591",1476,NA,NA,NA
"1716","Nebraska","1964",NA,"776",1482,NA,NA,NA
"1717","Nebraska","1965",NA,"852",NA,NA,NA,NA
"1718","Nebraska","1966",NA,"941",1456,NA,NA,NA
"1719","Nebraska","1967",NA,"1624",1457,NA,NA,NA
"1720","Nebraska","1968",NA,"2103",1467,NA,NA,NA
"1721","Nebraska","1969",NA,"2302",1474,NA,NA,NA
"1722","Nebraska","1970",NA,"2731",1484,NA,NA,NA
"1723","Nebraska","1971",NA,"2355",1505,NA,NA,NA
"1724","Nebraska","1972",NA,"2638",1519,NA,NA,NA
"1725","Nebraska","1973",NA,"2859",1530,NA,NA,NA
"1726","Nebraska","1974",NA,"3697",1539,NA,NA,NA
"1727","Nebraska","1975",NA,"3986",1543,NA,NA,NA
"1728","Nebraska","1976",NA,"3269",1551,NA,NA,NA
"1729","Nebraska","1977",NA,"3113",1557,NA,NA,NA
"1730","Nebraska","1978",NA,"2982",1564,NA,NA,NA
"1731","Nebraska","1979",NA,"3556",1567,NA,NA,NA
"1732","Nebraska","1980",NA,"3512",1570,NA,NA,NA
"1733","Nebraska","1981",NA,"2861",1579,NA,NA,NA
"1734","Nebraska","1982",NA,"3641",1582,NA,NA,NA
"1735","Nebraska","1983",NA,"3477",1584,NA,NA,NA
"1736","Nebraska","1984",NA,"3627",1589,NA,NA,NA
"1737","Nebraska","1985",NA,"3821",1585,NA,NA,NA
"1738","Nebraska","1986",NA,"4196",1574,NA,NA,NA
"1739","Nebraska","1987",NA,"4004",1567,NA,NA,NA
"1740","Nebraska","1988",NA,"4374",1571,NA,NA,NA
"1741","Nebraska","1989",NA,"4503",1575,NA,NA,NA
"1742","Nebraska","1990",NA,"5209",1578,NA,NA,NA
"1743","Nebraska","1991",NA,"5330",1591.6,NA,NA,NA
"1744","Nebraska","1992",NA,"5598",1605.2,NA,NA,NA
"1745","Nebraska","1993",NA,"6071",1618.8,NA,NA,NA
"1746","Nebraska","1994",NA,"6322",1632.4,NA,NA,NA
"1747","Nebraska","1995",NA,"6253",1646,NA,NA,NA
"1748","Nebraska","1996",NA,"7182",1659.6,NA,NA,NA
"1749","Nebraska","1997",NA,"7265",1673.2,NA,NA,NA
"1750","Nebraska","1998",NA,"7507",1686.8,NA,NA,NA
"1751","Nebraska","1999",NA,"7167",1700.4,NA,NA,NA
"1752","Nebraska","2000",NA,"5606",1714,NA,NA,NA
"1753","Nebraska","2001",0,"5214",1720,10782,6969,3813
"1754","Nebraska","2002",0,"5428",1728,10639,6714,3925
"1755","Nebraska","2003",0,"5105",1739,11025,6939,4086
"1756","Nebraska","2004",0,"5393",1749,11439,7145,4294
"1757","Nebraska","2005",11,"5052",1761,11999,7352,4636
"1758","Nebraska","2006",14,"5197",1773,12150,7379,4757
"1759","Nebraska","2007",45,"5524",1783,12332,7440,4847
"1760","Nebraska","2008",53,"5570",1796,12360,7401,4906
"1761","Nebraska","2009",71,"5199",1813,12575,7408,5096
"1762","Nebraska","2010",86,"5093",1826,12596,7483,5027
"1763","Nebraska","2011",NA,"4672",NA,NA,NA,NA
"1764","Nebraska","2012",NA,"4814",NA,NA,NA,NA
"1765","Nevada","1950",NA,NA,162,NA,NA,NA
"1766","Nevada","1951",NA,NA,168,NA,NA,NA
"1767","Nevada","1952",NA,NA,181,NA,NA,NA
"1768","Nevada","1953",NA,NA,195,NA,NA,NA
"1769","Nevada","1954",NA,NA,213,NA,NA,NA
"1770","Nevada","1955",NA,NA,237,NA,NA,NA
"1771","Nevada","1956",NA,NA,250,NA,NA,NA
"1772","Nevada","1957",NA,NA,260,NA,NA,NA
"1773","Nevada","1958",NA,NA,269,NA,NA,NA
"1774","Nevada","1959",NA,NA,279,NA,NA,NA
"1775","Nevada","1960",NA,"416",285,NA,NA,NA
"1776","Nevada","1961",NA,"549",315,NA,NA,NA
"1777","Nevada","1962",NA,"711",352,NA,NA,NA
"1778","Nevada","1963",NA,"755",397,NA,NA,NA
"1779","Nevada","1964",NA,"983",426,NA,NA,NA
"1780","Nevada","1965",NA,"953",NA,NA,NA,NA
"1781","Nevada","1966",NA,"987",446,NA,NA,NA
"1782","Nevada","1967",NA,"1100",449,NA,NA,NA
"1783","Nevada","1968",NA,"1261",464,NA,NA,NA
"1784","Nevada","1969",NA,"1642",480,NA,NA,NA
"1785","Nevada","1970",NA,"1948",489,NA,NA,NA
"1786","Nevada","1971",NA,"1887",520,NA,NA,NA
"1787","Nevada","1972",NA,"2264",547,NA,NA,NA
"1788","Nevada","1973",NA,"3135",569,NA,NA,NA
"1789","Nevada","1974",NA,"3910",597,NA,NA,NA
"1790","Nevada","1975",NA,"4018",620,NA,NA,NA
"1791","Nevada","1976",NA,"4215",647,NA,NA,NA
"1792","Nevada","1977",NA,"4703",678,NA,NA,NA
"1793","Nevada","1978",NA,"5153",719,NA,NA,NA
"1794","Nevada","1979",NA,"5866",765,NA,NA,NA
"1795","Nevada","1980",NA,"7304",800,NA,NA,NA
"1796","Nevada","1981",NA,"7575",848,NA,NA,NA
"1797","Nevada","1982",NA,"7096",882,NA,NA,NA
"1798","Nevada","1983",NA,"5838",902,NA,NA,NA
"1799","Nevada","1984",NA,"5726",925,NA,NA,NA
"1800","Nevada","1985",NA,"6244",951,NA,NA,NA
"1801","Nevada","1986",NA,"6923",981,NA,NA,NA
"1802","Nevada","1987",NA,"7006",1023,NA,NA,NA
"1803","Nevada","1988",NA,"8275",1075,NA,NA,NA
"1804","Nevada","1989",NA,"6947",1137,NA,NA,NA
"1805","Nevada","1990",NA,"7222",1202,NA,NA,NA
"1806","Nevada","1991",NA,"8693",1283.7,NA,NA,NA
"1807","Nevada","1992",NA,"9247",1365.4,NA,NA,NA
"1808","Nevada","1993",NA,"12157",1447.1,NA,NA,NA
"1809","Nevada","1994",NA,"14597",1528.8,NA,NA,NA
"1810","Nevada","1995",NA,"14461",1610.5,NA,NA,NA
"1811","Nevada","1996",NA,"13005",1692.2,NA,NA,NA
"1812","Nevada","1997",NA,"13395",1773.9,NA,NA,NA
"1813","Nevada","1998",NA,"11244",1855.6,NA,NA,NA
"1814","Nevada","1999",NA,"10311",1937.3,NA,NA,NA
"1815","Nevada","2000",NA,"10474",2019,NA,NA,NA
"1816","Nevada","2001",271,"12359",2098,4358,4042,45
"1817","Nevada","2002",255,"13856",2174,4489,4175,59
"1818","Nevada","2003",266,"13813",2249,4877,4549,62
"1819","Nevada","2004",379,"14379",2346,5136,4714,43
"1820","Nevada","2005",538,"14654",2432,5608,5010,60
"1821","Nevada","2006",617,"18687",2523,6595,5924,54
"1822","Nevada","2007",662,"19365",2601,6390,5673,55
"1823","Nevada","2008",702,"18973",2654,6860,6058,100
"1824","Nevada","2009",786,"18639",2685,7119,6231,102
"1825","Nevada","2010",897,"17929",2701,7345,6262,186
"1826","Nevada","2011",NA,"15452",NA,NA,NA,NA
"1827","Nevada","2012",NA,"16763",NA,NA,NA,NA
"1828","New Hampshire","1950",NA,NA,532,NA,NA,NA
"1829","New Hampshire","1951",NA,NA,529,NA,NA,NA
"1830","New Hampshire","1952",NA,NA,535,NA,NA,NA
"1831","New Hampshire","1953",NA,NA,547,NA,NA,NA
"1832","New Hampshire","1954",NA,NA,554,NA,NA,NA
"1833","New Hampshire","1955",NA,NA,557,NA,NA,NA
"1834","New Hampshire","1956",NA,NA,566,NA,NA,NA
"1835","New Hampshire","1957",NA,NA,572,NA,NA,NA
"1836","New Hampshire","1958",NA,NA,581,NA,NA,NA
"1837","New Hampshire","1959",NA,NA,596,NA,NA,NA
"1838","New Hampshire","1960",NA,"81",607,NA,NA,NA
"1839","New Hampshire","1961",NA,"89",618,NA,NA,NA
"1840","New Hampshire","1962",NA,"178",632,NA,NA,NA
"1841","New Hampshire","1963",NA,"164",649,NA,NA,NA
"1842","New Hampshire","1964",NA,"149",663,NA,NA,NA
"1843","New Hampshire","1965",NA,"156",NA,NA,NA,NA
"1844","New Hampshire","1966",NA,"259",681,NA,NA,NA
"1845","New Hampshire","1967",NA,"218",697,NA,NA,NA
"1846","New Hampshire","1968",NA,"279",709,NA,NA,NA
"1847","New Hampshire","1969",NA,"325",724,NA,NA,NA
"1848","New Hampshire","1970",NA,"413",738,NA,NA,NA
"1849","New Hampshire","1971",NA,"580",762,NA,NA,NA
"1850","New Hampshire","1972",NA,"491",781,NA,NA,NA
"1851","New Hampshire","1973",NA,"649",801,NA,NA,NA
"1852","New Hampshire","1974",NA,"739",816,NA,NA,NA
"1853","New Hampshire","1975",NA,"816",829,NA,NA,NA
"1854","New Hampshire","1976",NA,"709",845,NA,NA,NA
"1855","New Hampshire","1977",NA,"960",870,NA,NA,NA
"1856","New Hampshire","1978",NA,"1035",892,NA,NA,NA
"1857","New Hampshire","1979",NA,"1241",909,NA,NA,NA
"1858","New Hampshire","1980",NA,"1653",921,NA,NA,NA
"1859","New Hampshire","1981",NA,"1375",937,NA,NA,NA
"1860","New Hampshire","1982",NA,"1187",948,NA,NA,NA
"1861","New Hampshire","1983",NA,"1200",958,NA,NA,NA
"1862","New Hampshire","1984",NA,"1308",977,NA,NA,NA
"1863","New Hampshire","1985",NA,"1405",997,NA,NA,NA
"1864","New Hampshire","1986",NA,"1433",1025,NA,NA,NA
"1865","New Hampshire","1987",NA,"1581",1054,NA,NA,NA
"1866","New Hampshire","1988",NA,"1622",1083,NA,NA,NA
"1867","New Hampshire","1989",NA,"1865",1105,NA,NA,NA
"1868","New Hampshire","1990",NA,"1459",1109,NA,NA,NA
"1869","New Hampshire","1991",NA,"1318",1122.1,NA,NA,NA
"1870","New Hampshire","1992",NA,"1397",1135.2,NA,NA,NA
"1871","New Hampshire","1993",NA,"1550",1148.3,NA,NA,NA
"1872","New Hampshire","1994",NA,"1328",1161.4,NA,NA,NA
"1873","New Hampshire","1995",NA,"1314",1174.5,NA,NA,NA
"1874","New Hampshire","1996",NA,"1373",1187.6,NA,NA,NA
"1875","New Hampshire","1997",NA,"1328",1200.7,NA,NA,NA
"1876","New Hampshire","1998",NA,"1270",1213.8,NA,NA,NA
"1877","New Hampshire","1999",NA,"1159",1226.9,NA,NA,NA
"1878","New Hampshire","2000",NA,"2167",1240,NA,NA,NA
"1879","New Hampshire","2001",97,"2144",1256,7254,3710,3447
"1880","New Hampshire","2002",86,"2056",1269,7249,3698,3465
"1881","New Hampshire","2003",85,"1937",1280,7563,4006,3472
"1882","New Hampshire","2004",135,"2202",1290,7908,4125,3648
"1883","New Hampshire","2005",150,"1761",1298,8107,4263,3694
"1884","New Hampshire","2006",110,"1785",1308,8030,4177,3743
"1885","New Hampshire","2007",161,"1896",1313,8306,4379,3766
"1886","New Hampshire","2008",164,"2054",1316,8460,4555,3741
"1887","New Hampshire","2009",352,"2125",1316,8879,4809,3718
"1888","New Hampshire","2010",424,"2204",1316,9396,5116,3856
"1889","New Hampshire","2011",NA,"2864",NA,NA,NA,NA
"1890","New Hampshire","2012",NA,"2481",NA,NA,NA,NA
"1891","New Jersey","1950",NA,NA,4872,NA,NA,NA
"1892","New Jersey","1951",NA,NA,5006,NA,NA,NA
"1893","New Jersey","1952",NA,NA,5125,NA,NA,NA
"1894","New Jersey","1953",NA,NA,5229,NA,NA,NA
"1895","New Jersey","1954",NA,NA,5360,NA,NA,NA
"1896","New Jersey","1955",NA,NA,5502,NA,NA,NA
"1897","New Jersey","1956",NA,NA,5615,NA,NA,NA
"1898","New Jersey","1957",NA,NA,5737,NA,NA,NA
"1899","New Jersey","1958",NA,NA,5890,NA,NA,NA
"1900","New Jersey","1959",NA,NA,6015,NA,NA,NA
"1901","New Jersey","1960",NA,"6932",6067,NA,NA,NA
"1902","New Jersey","1961",NA,"6682",6265,NA,NA,NA
"1903","New Jersey","1962",NA,"7874",6376,NA,NA,NA
"1904","New Jersey","1963",NA,"8849",6531,NA,NA,NA
"1905","New Jersey","1964",NA,"10456",6660,NA,NA,NA
"1906","New Jersey","1965",NA,"10422",NA,NA,NA,NA
"1907","New Jersey","1966",NA,"11168",6851,NA,NA,NA
"1908","New Jersey","1967",NA,"13204",6928,NA,NA,NA
"1909","New Jersey","1968",NA,"16711",7005,NA,NA,NA
"1910","New Jersey","1969",NA,"17226",7095,NA,NA,NA
"1911","New Jersey","1970",NA,"20583",7168,NA,NA,NA
"1912","New Jersey","1971",NA,"26441",7281,NA,NA,NA
"1913","New Jersey","1972",NA,"27577",7335,NA,NA,NA
"1914","New Jersey","1973",NA,"28845",7333,NA,NA,NA
"1915","New Jersey","1974",NA,"29568",7332,NA,NA,NA
"1916","New Jersey","1975",NA,"30215",7338,NA,NA,NA
"1917","New Jersey","1976",NA,"29107",7340,NA,NA,NA
"1918","New Jersey","1977",NA,"28732",7337,NA,NA,NA
"1919","New Jersey","1978",NA,"31027",7351,NA,NA,NA
"1920","New Jersey","1979",NA,"36747",7367,NA,NA,NA
"1921","New Jersey","1980",NA,"44373",7365,NA,NA,NA
"1922","New Jersey","1981",NA,"46674",7407,NA,NA,NA
"1923","New Jersey","1982",NA,"45175",7431,NA,NA,NA
"1924","New Jersey","1983",NA,"41304",7468,NA,NA,NA
"1925","New Jersey","1984",NA,"39659",7515,NA,NA,NA
"1926","New Jersey","1985",NA,"41172",7566,NA,NA,NA
"1927","New Jersey","1986",NA,"43623",7622,NA,NA,NA
"1928","New Jersey","1987",NA,"41507",7671,NA,NA,NA
"1929","New Jersey","1988",NA,"44993",7712,NA,NA,NA
"1930","New Jersey","1989",NA,"47111",7726,NA,NA,NA
"1931","New Jersey","1990",NA,"50057",7730,NA,NA,NA
"1932","New Jersey","1991",NA,"49257",7800.1,NA,NA,NA
"1933","New Jersey","1992",NA,"48745",7870.2,NA,NA,NA
"1934","New Jersey","1993",NA,"49390",7940.3,NA,NA,NA
"1935","New Jersey","1994",NA,"48544",8010.4,NA,NA,NA
"1936","New Jersey","1995",NA,"47652",8080.5,NA,NA,NA
"1937","New Jersey","1996",NA,"42459",8150.6,NA,NA,NA
"1938","New Jersey","1997",NA,"39673",8220.7,NA,NA,NA
"1939","New Jersey","1998",NA,"35720",8290.8,NA,NA,NA
"1940","New Jersey","1999",NA,"33540",8360.9,NA,NA,NA
"1941","New Jersey","2000",NA,"32298",8431,NA,NA,NA
"1942","New Jersey","2001",86,"33094",8493,26948,19776,7086
"1943","New Jersey","2002",107,"32252",8553,28376,20884,7385
"1944","New Jersey","2003",330,"31488",8601,29604,21619,7655
"1945","New Jersey","2004",565,"30943",8635,30564,22185,7814
"1946","New Jersey","2005",462,"30919",8652,31987,23110,8415
"1947","New Jersey","2006",487,"30550",8662,32251,23606,8158
"1948","New Jersey","2007",461,"28544",8678,32727,23830,8436
"1949","New Jersey","2008",527,"28351",8711,33645,24267,8851
"1950","New Jersey","2009",553,"27113",8756,34625,24843,9229
"1951","New Jersey","2010",636,"27055",8792,36025,25869,9520
"1952","New Jersey","2011",NA,"27203",NA,NA,NA,NA
"1953","New Jersey","2012",NA,"25727",NA,NA,NA,NA
"1954","New Mexico","1950",NA,NA,689,NA,NA,NA
"1955","New Mexico","1951",NA,NA,717,NA,NA,NA
"1956","New Mexico","1952",NA,NA,735,NA,NA,NA
"1957","New Mexico","1953",NA,NA,756,NA,NA,NA
"1958","New Mexico","1954",NA,NA,763,NA,NA,NA
"1959","New Mexico","1955",NA,NA,785,NA,NA,NA
"1960","New Mexico","1956",NA,NA,806,NA,NA,NA
"1961","New Mexico","1957",NA,NA,847,NA,NA,NA
"1962","New Mexico","1958",NA,NA,886,NA,NA,NA
"1963","New Mexico","1959",NA,NA,919,NA,NA,NA
"1964","New Mexico","1960",NA,"1360",951,NA,NA,NA
"1965","New Mexico","1961",NA,"1278",965,NA,NA,NA
"1966","New Mexico","1962",NA,"1338",979,NA,NA,NA
"1967","New Mexico","1963",NA,"1376",989,NA,NA,NA
"1968","New Mexico","1964",NA,"1613",1006,NA,NA,NA
"1969","New Mexico","1965",NA,"2047",NA,NA,NA,NA
"1970","New Mexico","1966",NA,"2221",1007,NA,NA,NA
"1971","New Mexico","1967",NA,"2325",1000,NA,NA,NA
"1972","New Mexico","1968",NA,"2543",994,NA,NA,NA
"1973","New Mexico","1969",NA,"2881",1011,NA,NA,NA
"1974","New Mexico","1970",NA,"3093",1016,NA,NA,NA
"1975","New Mexico","1971",NA,"3994",1054,NA,NA,NA
"1976","New Mexico","1972",NA,"4598",1079,NA,NA,NA
"1977","New Mexico","1973",NA,"5219",1106,NA,NA,NA
"1978","New Mexico","1974",NA,"5053",1131,NA,NA,NA
"1979","New Mexico","1975",NA,"6134",1160,NA,NA,NA
"1980","New Mexico","1976",NA,"6475",1189,NA,NA,NA
"1981","New Mexico","1977",NA,"5961",1216,NA,NA,NA
"1982","New Mexico","1978",NA,"6402",1238,NA,NA,NA
"1983","New Mexico","1979",NA,"7272",1285,NA,NA,NA
"1984","New Mexico","1980",NA,"7967",1303,NA,NA,NA
"1985","New Mexico","1981",NA,"8913",1333,NA,NA,NA
"1986","New Mexico","1982",NA,"9982",1364,NA,NA,NA
"1987","New Mexico","1983",NA,"9608",1394,NA,NA,NA
"1988","New Mexico","1984",NA,"9798",1417,NA,NA,NA
"1989","New Mexico","1985",NA,"10207",1438,NA,NA,NA
"1990","New Mexico","1986",NA,"10731",1463,NA,NA,NA
"1991","New Mexico","1987",NA,"9427",1479,NA,NA,NA
"1992","New Mexico","1988",NA,"9938",1490,NA,NA,NA
"1993","New Mexico","1989",NA,"10755",1504,NA,NA,NA
"1994","New Mexico","1990",NA,"11821",1515,NA,NA,NA
"1995","New Mexico","1991",NA,"12922",1545.6,NA,NA,NA
"1996","New Mexico","1992",NA,"14781",1576.2,NA,NA,NA
"1997","New Mexico","1993",NA,"15024",1606.8,NA,NA,NA
"1998","New Mexico","1994",NA,"14708",1637.4,NA,NA,NA
"1999","New Mexico","1995",NA,"13804",1668,NA,NA,NA
"2000","New Mexico","1996",NA,"14399",1698.6,NA,NA,NA
"2001","New Mexico","1997",NA,"14762",1729.2,NA,NA,NA
"2002","New Mexico","1998",NA,"16700",1759.8,NA,NA,NA
"2003","New Mexico","1999",NA,"14520",1790.4,NA,NA,NA
"2004","New Mexico","2000",NA,"13786",1821,NA,NA,NA
"2005","New Mexico","2001",611,"14288",1832,6551,5400,540
"2006","New Mexico","2002",641,"13719",1855,6432,5333,458
"2007","New Mexico","2003",701,"12535",1878,7027,5810,516
"2008","New Mexico","2004",751,"13081",1904,7217,5948,518
"2009","New Mexico","2005",789,"12448",1932,7342,6052,501
"2010","New Mexico","2006",826,"12797",1962,7491,6186,479
"2011","New Mexico","2007",900,"13311",1990,7839,6462,477
"2012","New Mexico","2008",785,"12967",2011,7791,6538,468
"2013","New Mexico","2009",1045,"12709",2037,7875,6625,205
"2014","New Mexico","2010",968,"12147",2059,7774,6639,167
"2015","New Mexico","2011",NA,"11904",NA,NA,NA,NA
"2016","New Mexico","2012",NA,"11660",NA,NA,NA,NA
"2017","New York","1950",NA,NA,14865,NA,NA,NA
"2018","New York","1951",NA,NA,14890,NA,NA,NA
"2019","New York","1952",NA,NA,15192,NA,NA,NA
"2020","New York","1953",NA,NA,15527,NA,NA,NA
"2021","New York","1954",NA,NA,15814,NA,NA,NA
"2022","New York","1955",NA,NA,15966,NA,NA,NA
"2023","New York","1956",NA,NA,16112,NA,NA,NA
"2024","New York","1957",NA,NA,16374,NA,NA,NA
"2025","New York","1958",NA,NA,16601,NA,NA,NA
"2026","New York","1959",NA,NA,16685,NA,NA,NA
"2027","New York","1960",NA,"58797",16782,NA,NA,NA
"2028","New York","1961",NA,"58798",17061,NA,NA,NA
"2029","New York","1962",NA,"58799",17301,NA,NA,NA
"2030","New York","1963",NA,"58800",17461,NA,NA,NA
"2031","New York","1964",NA,"58801",17589,NA,NA,NA
"2032","New York","1965",NA,"58802",NA,NA,NA,NA
"2033","New York","1966",NA,"62561",17843,NA,NA,NA
"2034","New York","1967",NA,"75124",17935,NA,NA,NA
"2035","New York","1968",NA,"98515",18051,NA,NA,NA
"2036","New York","1969",NA,"105870",18105,NA,NA,NA
"2037","New York","1970",NA,"124613",18191,NA,NA,NA
"2038","New York","1971",NA,"145048",18358,NA,NA,NA
"2039","New York","1972",NA,"138542",18339,NA,NA,NA
"2040","New York","1973",NA,"135468",18177,NA,NA,NA
"2041","New York","1974",NA,"145427",18050,NA,NA,NA
"2042","New York","1975",NA,"155187",18003,NA,NA,NA
"2043","New York","1976",NA,"156988",17941,NA,NA,NA
"2044","New York","1977",NA,"149087",17813,NA,NA,NA
"2045","New York","1978",NA,"149257",17681,NA,NA,NA
"2046","New York","1979",NA,"161906",17584,NA,NA,NA
"2047","New York","1980",NA,"180235",17558,NA,NA,NA
"2048","New York","1981",NA,"188178",17568,NA,NA,NA
"2049","New York","1982",NA,"174833",17590,NA,NA,NA
"2050","New York","1983",NA,"161489",17687,NA,NA,NA
"2051","New York","1984",NA,"162157",17746,NA,NA,NA
"2052","New York","1985",NA,"165365",17792,NA,NA,NA
"2053","New York","1986",NA,"175210",17833,NA,NA,NA
"2054","New York","1987",NA,"179691",17869,NA,NA,NA
"2055","New York","1988",NA,"196396",17941,NA,NA,NA
"2056","New York","1989",NA,"203042",17983,NA,NA,NA
"2057","New York","1990",NA,"212458",17990,NA,NA,NA
"2058","New York","1991",NA,"210184",18091.2,NA,NA,NA
"2059","New York","1992",NA,"203311",18192.4,NA,NA,NA
"2060","New York","1993",NA,"195352",18293.6,NA,NA,NA
"2061","New York","1994",NA,"175433",18394.8,NA,NA,NA
"2062","New York","1995",NA,"152683",18496,NA,NA,NA
"2063","New York","1996",NA,"132206",18597.2,NA,NA,NA
"2064","New York","1997",NA,"124890",18698.4,NA,NA,NA
"2065","New York","1998",NA,"115915",18799.6,NA,NA,NA
"2066","New York","1999",NA,"107147",18900.8,NA,NA,NA
"2067","New York","2000",NA,"105111",19002,NA,NA,NA
"2068","New York","2001",1304,"98022",19083,97415,43505,52606
"2069","New York","2002",1717,"95030",19138,99488,42675,55096
"2070","New York","2003",2273,"89486",19176,106188,45031,58884
"2071","New York","2004",2446,"84914",19172,108135,45022,60667
"2072","New York","2005",2730,"85839",19133,111201,47712,60759
"2073","New York","2006",2849,"84016",19105,113094,48591,61654
"2074","New York","2007",2871,"79962",19132,115290,50028,62391
"2075","New York","2008",3199,"77546",19212,119777,51265,65313
"2076","New York","2009",3210,"75110",19307,122186,52864,66112
"2077","New York","2010",3217,"76492",19378,124920,54901,66802
"2078","New York","2011",NA,"77463",NA,NA,NA,NA
"2079","New York","2012",NA,"79610",NA,NA,NA,NA
"2080","North Carolina","1950",NA,NA,4068,NA,NA,NA
"2081","North Carolina","1951",NA,NA,4120,NA,NA,NA
"2082","North Carolina","1952",NA,NA,4109,NA,NA,NA
"2083","North Carolina","1953",NA,NA,4120,NA,NA,NA
"2084","North Carolina","1954",NA,NA,4131,NA,NA,NA
"2085","North Carolina","1955",NA,NA,4242,NA,NA,NA
"2086","North Carolina","1956",NA,NA,4309,NA,NA,NA
"2087","North Carolina","1957",NA,NA,4368,NA,NA,NA
